0,174.0,176.0,174.0,176.0,16:27:50 224
+2,148.0,51.0,152.0,269.0,16:27:51 219
＊主菜单＊,0,0,0,0,16:27:51 272
任务1, 开始
-1,51.0,208.0,252.0,205.0,16:28:05 336
-1,57.0,185.0,254.0,177.0,16:28:05 412
-1,78.0,190.0,282.0,151.0,16:28:05 487
-1,41.0,194.0,271.0,167.0,16:28:05 562
-1,60.0,188.0,303.0,152.0,16:28:05 636
-1,65.0,171.0,264.0,176.0,16:28:06 100
0,220.0,114.0,220.0,114.0,16:28:06 912
睡眠,0,0,0,0,16:28:07 281
+1,295.0,161.0,113.0,237.0,16:28:09 983
+1,273.0,153.0,48.093964,237.434,16:28:11 522
任务1, 结束
任务2, 开始
+2,179.0,75.0,168.39973,298.4031,16:28:20 829
＊主菜单＊,0,0,0,0,16:28:20 905
+1,296.0,174.0,60.0,263.0,16:28:22 794
+1,258.0,183.0,62.0,241.0,16:28:23 145
+1,234.0,175.0,83.0,229.0,16:28:23 542
+1,225.0,153.0,87.0,216.0,16:28:23 660
+1,226.0,141.0,49.0,211.0,16:28:24 078
+1,262.0,159.0,131.0,191.0,16:28:24 487
+1,285.0,157.0,129.0,218.0,16:28:24 950
0,217.0,234.0,217.0,234.0,16:28:25 604
下载,0,0,0,0,16:28:26 193
任务2, 结束
任务3, 开始
+2,151.0,90.0,147.0,277.0,16:28:42 218
＊主菜单＊,0,0,0,0,16:28:42 336
-1,94.0,192.0,301.0,179.0,16:28:45 852
0,208.0,104.0,208.0,104.0,16:28:48 350
日历,0,0,0,0,16:28:48 402
+2,144.0,42.0,137.51886,248.64214,16:28:51 953
＊主菜单＊,0,0,0,0,16:28:52 028
-1,95.0,197.0,266.0,214.0,16:28:55 298
0,200.0,228.0,200.0,228.0,16:28:55 915
笔记,0,0,0,0,16:28:55 973
+1,259.0,160.0,45.925392,237.69775,16:28:58 212
+1,284.0,153.0,77.0,226.0,16:28:59 118
任务3, 结束
+2,177.0,51.0,137.07947,263.08618,16:29:06 011
＊主菜单＊,0,0,0,0,16:29:06 155
任务4, 开始
-1,67.0,189.0,296.0,191.0,16:29:11 520
-1,68.0,171.0,219.0,177.0,16:29:12 660
-1,75.0,173.0,277.0,174.0,16:29:14 359
+1,288.0,157.0,85.0,223.0,16:29:15 222
0,99.0,214.0,99.0,214.0,16:29:15 890
新浪微博,0,0,0,0,16:29:15 991
任务4, 结束
任务5, 开始
+2,201.0,99.0,173.75731,281.00748,16:29:28 213
＊主菜单＊,0,0,0,0,16:29:28 253
+1,287.0,169.0,63.0,256.0,16:29:30 398
0,234.0,109.0,234.0,109.0,16:29:31 893
音乐,0,0,0,0,16:29:31 931
+1,229.0,191.0,51.92871,236.72266,16:29:34 715
+1,296.0,177.0,72.0,261.0,16:29:36 279
-1,93.0,177.0,233.2959,145.92857,16:29:37 150
+1,273.0,193.0,64.0,256.0,16:29:41 904
-1,21.0,190.0,273.0,220.0,16:29:42 841
任务5, 结束
＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
